"Feature","Weight"
"218584_at",-0.1283
"209789_at",-0.11625
"213655_at",0.11542
"Sham",-0.10349
"212813_at",0.095316
"218055_s_at",-0.090551
"207300_s_at",0.089212
"206615_s_at",-0.084316
"207979_s_at",-0.071605
"204806_x_at",-0.062359
"221978_at",-0.057111
"212611_at",-0.055916
"205758_at",-0.051336
"216841_s_at",0.050108
"211560_s_at",0.049547
"214209_s_at",0.049194
"33646_g_at",0.049023
"203936_s_at",-0.047407
"214686_at",-0.035144
"201347_x_at",-0.035036
"222211_x_at",0.027573
"214511_x_at",0.023283
"206478_at",-0.021049
"205933_at",-0.018346
"201865_x_at",-0.018318
"205382_s_at",0.018289
"41660_at",-0.017011
"215211_at",-0.01422
"201953_at",-0.013771
"213348_at",0.011343
"221422_s_at",-0.0048068
"210137_s_at",-0.0029423
"205821_at",-2.5511e-05
