WO-Baseline,W-Baseline
ACP2,C7orf58
ADM,CCR1
AFFX-r2-Bs-dap-3_at,H1F0
AMFR,IFI27
ASGR2,IFI44L
ATP9A,IFITM3
BAIAP3,IL1F9
BTN2A2,IRF9
C4BPA,ISG15
CDC20,MTMR12
CHI3L1,NUDT13
CYP26B1,OAS1
DAP,ORM2
DCXR,RSAD2
DSP,STAT1
EIF2AK2,TSPAN8
ERC1,TSTA3
FBXL8,
FOLR3,
GDF9,
H1F0,
HMBOX1,
HPCAL4,
HRASLS3,
IFI27,
IFI44,
IFI44L,
IFIT1,
IFIT3,
IGFBP6,
IGFBP7,
IGHV1-69,
IGLV4-60,
IL1F9,
IRF5,
IRF9,
ISG15,
LOC643224,
LY6E,
MAP7,
MFAP3,
MICB,
MMP1,
MX1,
MYOM1,
NARFL,
NGFRAP1,
NKX3-1,
NQO2,
NUDT4,
OAS1,
OLFM1,
PAPSS2,
PGGT1B,
PODXL,
PRRG4,
PRSS21,
RGS20,
RIMBP2,
RSAD2,
SCO2,
SERGEF,
SERPINE2,
SLC30A4,
SP100,
SPATA20,
STAT1,
TCL1B,
TMEM140,
TNNT1,
TSPAN15,
TTLL4,
TUBB6,
UAP1L1,
ZNF701,
