original.symbol,symbol,gene_id
CXCL13,CXCL13,10563
HAPLN3,HAPLN3,145864
RIGI,DDX58,23586
GBP1,GBP1,2633
IL28B,IFNL3,282617
TNC,TNC,3371
ICAM-1,ICAM1,3383
IFIT2,IFIT2,3433
IFIT1,IFIT1,3434
IFIT4,IFIT3,3437
CXCL10,CXCL10,3627
IRF7,IRF7,3665
CXCL9,CXCL9,4283
MMP12,MMP12,4321
MX1,MX1,4599
MX2,MX2,4600
NOS2A,NOS2,4843
OAS1,OAS1,4938
OAS2,OAS2,4939
OAS3,OAS3,4940
PLSCR1,PLSCR1,5359
CCL2,CCL2,6347
CCL8,CCL8,6355
CCL20,CCL20,6364
CXCL11,CXCL11,6373
MDA5,IFIH1,64135
OASL,OASL,8638
SOCS1,SOCS1,8651
SOCS2,SOCS2,8835
SOCS3,SOCS3,9021
CIG5,RSAD2,91543
EPSTI1,EPSTI1,94240
G1P2,ISG15,9636
