Rhinovirus,RSV,Influenza,Panviral,Literature
RSAD2,RSAD2,RSAD2,RSAD2,SIGLEC1
LAMP3,SERPING1,IFI44L,IFI44L,IFI27
IFI44L,IFI44L,SIGLEC1,LAMP3,IFI44L
IFIT1,IFIT1,LAMP3,SERPING1,IFIT1
SIGLEC1,IFI44,IFIT1,IFI44,RSAD2
IFI44,IFI44,IFI44,IFIT1,LOC727996
OAS3,LAMP3,SERPING1,IFI44,IFIT3
LOC727996,OAS3,IFI27,ISG15,IFI44L
SERPING1,HERC5,ISG15,SIGLEC1,OTOF
HERC5,ISG15,IFI44,OAS3,ISG15
ISG15,IFIT3,HERC5,HERC5,MX1
IFI6,SIGLEC1,LOC26010,LOC727996,SIGLEC1
IFI44,OASL,IFI6,IFIT3,HESX1
INDO,OAS1,LOC727996,IFI6,SERPING1
MX1,LOC26010,IFIT3,OASL,DHX58
IFIT3,MX1,OAS3,IFI27,LAMP3
OASL,IFI6,OASL,ATF3,LY6E
LOC26010,FCGR1A,SEPT4,MX1,OAS3
OASL,GBP1,XAF1,OAS1,IFI44
CXCL10,ATF3,OAS1,LOC26010,HERC5
ATF3,IFIT5,LY6E,XAF1,OAS1
OAS1,LAP3,MS4A4A,IFIT2,HERC6
DDX58,OASL,SIGLEC1,OAS2,XAF1
OAS1,IFIT2,TNFAIP6,LY6E,IFI6
LY6E,RTP4,CCL2,SEPT4,OAS2
OAS2,GBP1,OAS1,DDX58,STAT1
CCL2,DDX58,MX1,TNFAIP6,OASL
XAF1,ETV7,TNFAIP6,RTP4,FLJ20035
IFIT2,FCGR1B,RTP4,,PML
SOCS1,OAS1,OASL,,CXCL10
